"ParticipantID";"Phase";"PositionPointerX";"PositionPointerY";"PositionPointerZ";"OrientationPointerX";"OrientationPointerY";"OrientationPointerZ";"OrientationPointerW";"ElapsedTime";"Timestamp";"Direction1";"Direction2";"Direction3";"Method";"Model";"Gender";"StereoTest";"Sample";"TargetDistance";"Angle";"Precision";"TargetDistanceScaled"
"12";6;139.7;592.038;893.969;0.114392;-0.687199;-0.0674261;0.714231;51816;"2019-10-10T14:54:31";0.997063476;0.070734314;-0.029344199;"HMD";"L";"M";7;1;919.720507147775;81.5911941061763;"miss";0.776805219525665
"12";6;169.033;88.19;167.018;-0.266758;-0.286869;-0.355514;0.84862;87873;"2019-10-10T14:55:07";0.297213205;-0.656724395;-0.69309262;"HMD";"L";"M";7;1;105.49037285942;87.4881619851202;"miss";-2.17968526754679
"12";6;212.946;558.294;156.037;0.405945;-0.0119417;0.861903;0.303627;96379;"2019-10-10T14:55:16";-0.692518724;0.267096877;-0.670132133;"HMD";"L";"M";7;1;452.447322816789;82.3736964355803;"miss";-0.919875689424047
"12";6;239.458;109.364;161.149;-0.403691;-0.036941;-0.87309;0.270892;104038;"2019-10-10T14:55:23";-0.684903324;-0.283219049;-0.671337774;"HMD";"L";"M";7;1;157.661791315332;26.6370222694611;"hit";-1.99024950993166
"12";6;195.67;928.892;111.805;-0.554827;-0.336171;-0.668826;0.36308;115363;"2019-10-10T14:55:35";-0.498051888;-0.852573628;-0.158311483;"HMD";"L";"M";7;1;810.30924073751;45.2940575168668;"uncertain";0.379530106878039
"12";6;224.716;117.325;129.044;-0.56411;-0.262969;-0.676992;0.392822;121501;"2019-10-10T14:55:41";-0.557195853;-0.799245392;-0.225254487;"HMD";"L";"M";7;1;133.740049001634;58.6710834500179;"uncertain";-2.07710996940908
"12";6;206.662;156.715;148.495;-0.416565;-0.348073;-0.649251;0.532722;128882;"2019-10-10T14:55:49";-0.17005806;-0.895799447;-0.410638048;"HMD";"L";"M";7;1;125.776423105045;56.664110507384;"uncertain";-2.10602609915469
"13";5;678.384;158.626;62.677;-0.222763;-0.781913;-0.201324;0.546313;65096;"2019-09-18T10:56:21";0.764642984;-0.558232049;0.322021873;"HMD";"L";"W";7;0;586.955051762296;45.6729619580516;"uncertain";-0.431474678065409
"13";5;140.333;585.026;889.575;0.176791;-0.845494;0.0273524;0.503128;100644;"2019-09-18T10:56:57";0.841111169;0.224149338;0.492228682;"HMD";"L";"W";7;0;912.421230645363;67.1420207464182;"miss";0.750301359458202
"13";5;194.319;953.351;111.431;-0.435886;-0.862453;-0.199725;0.162134;115022;"2019-09-18T10:57:12";0.105551321;-0.485851076;0.867644887;"HMD";"L";"W";7;0;834.41057277622;46.9538453682515;"uncertain";0.467042661250028
